Time,bit-x,bitfinex,bitflyer,bitstamp,btcchina,coinbase,huobi,kraken,okcoin,others
2016-09-25 00:00:00 UTC,,1385.71804476,22577.13080335,1221.35898754,182473.1267,2831.29985814,793735.000600006,1812.48809306,810147.018999894,40434.77097525929
2016-09-26 00:00:00 UTC,,3113.73087306,25344.04639605,4514.32351179,318951.2284,4654.41784323,1324439.49529999,4051.74303222,1328641.27099955,48832.43008326021
2016-09-27 00:00:00 UTC,,3196.8005667,28258.48390734,3584.46289332,254329.4247,4759.67953998,978058.943200006,4143.16467614,1006480.40999952,55054.49515476501
2016-09-28 00:00:00 UTC,,2052.84259047,19876.84494809,2518.92633731,226545.359000001,4162.43278977,627710.836599999,3523.08694156,744910.932999811,41780.439304963795
2016-09-29 00:00:00 UTC,,3144.33070204,21899.60039314,3010.18907361,206938.0231,4525.42927705,897401.798900003,4139.64889153,986916.062999784,48345.92766754617
2016-09-30 00:00:00 UTC,,2363.90769959,19685.68028468,3089.64565321,265209.433800002,5086.80894958999,831552.361700006,4207.6711725,893951.501999884,54802.90506165921
2016-10-01 00:00:00 UTC,,1900.06005168,17348.96688574,1680.82090327,198814.509800001,3770.1041781,1066497.46279999,3652.79314216,1175850.27599976,45939.14339760394
2016-10-02 00:00:00 UTC,,4967.64168069,14293.07618343,1766.26576232,135291.454800002,3182.93626761,657841.529500002,1766.89548421,780917.589999916,40947.46434767547
2016-10-03 00:00:00 UTC,,3284.72217779,16098.72322894,2535.85254455,147734.169300001,4981.49045956999,471118.527600008,2977.29888537,573485.510999934,48962.80732108274
2016-10-04 00:00:00 UTC,,4006.4969625,17503.75038089,3448.6633843,170411.314100002,5625.08329787,487412.028700002,3954.34815413,601356.824999956,50682.976710035866
2016-10-05 00:00:00 UTC,,3411.1070412,22545.44357764,2817.71365761,180137.968500003,4884.12011073999,591882.454200004,4627.78054593,673941.026999927,49803.10844679711
2016-10-06 00:00:00 UTC,,3075.05759652,29972.53804339,2473.68238955,173289.864700001,4419.81526623,403695.100800004,3600.31944818,533423.547999967,48776.642642027495
2016-10-07 00:00:00 UTC,,4853.35465297,21476.810904,4534.05125747,242926.513300002,5671.98573255,684336.157599997,5408.11430287,770106.817999874,52972.57456845845
2016-10-08 00:00:00 UTC,,3113.2366971,18147.84168324,1101.23470515,209959.908100001,3009.66791354,467922.827800008,2337.25036079,513827.92400005,41663.25691745212
2016-10-09 00:00:00 UTC,,2735.93897282,18399.20144535,1238.1826181,203596.8698,2565.73795627,559340.095300003,1770.56501673,624040.628999867,38398.66423118512
2016-10-10 00:00:00 UTC,,3178.06655812,25982.87832604,2687.59722636,325175.6427,4488.86107813,865567.182100003,3914.16240717,911937.323999812,52151.987299372224
2016-10-11 00:00:00 UTC,,12434.74756907,31506.20380865,8859.91975075,672661.831599998,7102.90080317999,2002972.36509983,8362.88036357,1816864.60499948,70206.41367615189
2016-10-12 00:00:00 UTC,,3854.24778624,20384.40277211,3061.37690174,767273.856099997,4839.49222731999,1311492.71769996,5229.85908273,1462169.64099971,60061.457609634825
2016-10-13 00:00:00 UTC,,5009.93379241,28027.73687425,2870.25149309,612333.487899999,4379.4337545,1222480.77289998,4014.29120565,1343481.37699964,59183.58879818399
2016-10-14 00:00:00 UTC,,6637.09071324,27011.13708594,3746.07896222,721675.3243,4747.20052600999,876377.81919999,5795.61586399,936364.125999823,54418.99558860925
2016-10-15 00:00:00 UTC,,2402.26242554,30834.44254671,1680.00290781,622116.808899999,1004.3262734,855783.576299991,2733.76202367,1004864.63899983,44839.42548608985
2016-10-16 00:00:00 UTC,,2389.29065568,27311.8868603,1479.15885833,606914.2081,2756.77874668,658262.841299989,2178.97309616,863961.213000186,43113.24102777083
2016-10-17 00:00:00 UTC,,5018.0317722,26422.87061667,4328.90673222,532594.414099999,4353.35000948999,574639.814499998,3707.95884238,684101.244999958,57121.398900745924
2016-10-18 00:00:00 UTC,,6087.91173668,22015.03228973,3287.61030028,643997.295899997,4675.80581442,1200939.20289997,5233.72785732,1264318.87999985,54600.52237285856
2016-10-19 00:00:00 UTC,,8991.46184484999,17522.85969597,4830.05695095,766664.575300002,4940.25533762999,1030538.16439998,5734.19503778,1045804.56299978,59132.65113644818
2016-10-20 00:00:00 UTC,,3336.85339327,17791.40161445,2509.2742764,618499.767800001,4698.59541788,988640.824599995,4025.15817434,1175371.13699981,52452.58189432508
2016-10-21 00:00:00 UTC,,7218.71238716,9940.26014793999,3413.30589196,433672.723100003,4536.7913283,731416.429299979,3607.29172971,803211.454999882,52916.02025233053
2016-10-22 00:00:00 UTC,,10094.58498193,17044.69250222,5121.20688972,1184801.7916,4948.38852688,2043141.43810004,7740.74251624999,1916136.19799971,55366.41268525759
2016-10-23 00:00:00 UTC,,5729.98352418,24651.63283367,2735.42423508,1114188.72539999,3404.42351094001,2078034.65049991,3331.46389864,2201046.15399972,46877.7932534184
2016-10-24 00:00:00 UTC,,5695.45023816,22671.93621049,5080.25047015,993551.259200007,4072.10652051,1805453.84799995,5673.31042357,1942142.64599973,59643.67202125081
2016-10-25 00:00:00 UTC,,5525.77069839,73825.6384592801,6792.05815618,1279940.7974,5330.00406554999,1466309.49029991,7103.50245325,1501456.83399959,67589.16424375039
2016-10-26 00:00:00 UTC,,11694.7207574,24771.69730031,7209.10164376,1570826.60809999,6487.42784316999,2571339.19789984,7679.05822203,2452934.04899958,74755.51145074867
2016-10-27 00:00:00 UTC,,12929.47408695,31156.19009607,5218.14175331,1888541.81479995,7431.50535573999,2444577.61399989,8178.94118506,2440316.30799936,59209.56619326526
2016-10-28 00:00:00 UTC,,10104.62725742,20291.41953082,4048.13839776,2510106.03259999,4883.92141671,2090899.66289997,5826.00074098,2160378.30799971,63423.89880884841
2016-10-29 00:00:00 UTC,,15281.35978463,43486.58919653,4771.87992869,3324561.37869994,7068.59455359999,3108548.68329989,9086.31319067999,2871021.40299896,67073.05657212758
2016-10-30 00:00:00 UTC,,12196.45481239,39093.94064494,4043.59767792,2629577.40939998,4222.3987961,2710871.50319989,5954.01174277,2654355.58699931,57347.47296457755
2016-10-31 00:00:00 UTC,,8567.85971694,41403.26500728,5015.19700947,3536032.77429992,4935.50531088999,2940086.92829993,7133.0680628,2974904.40099976,68445.60874902733
2016-11-01 00:00:00 UTC,,22309.54256132,46265.51172043,6964.62544132,3201219.28839998,7547.51805929999,2026771.28139994,10015.84375382,2259248.44599945,62256.7515013234
2016-11-02 00:00:00 UTC,,9392.42912698,34501.96255945,5000.53188535,847514.786399999,5592.88546554,2735393.07479989,6896.1363938,2733280.81700041,68048.22382895763
2016-11-03 00:00:00 UTC,,28203.16502613,36975.15225178,13384.53145339,4937224.14330004,11491.60247019,4051370.88289967,19735.23504097,4639762.61900019,87911.21406291287
2016-11-04 00:00:00 UTC,,14558.28565553,26123.63084936,6158.87101781999,4209795.22120002,5672.24667774,1547280.62539993,8827.0450495,2007528.83199865,76935.88236555358
2016-11-05 00:00:00 UTC,,6022.25996563,14605.29372279,2073.06419474,1131627.04949999,3289.53291065,662308.834599998,3303.93478263,1093739.32699955,53710.25499445766
2016-11-06 00:00:00 UTC,,7163.32896867,20658.9267946,2728.01273303,1099039.97880001,3274.58130627,1243689.30039993,4228.18555838,1207188.35699935,46716.167739580895
2016-11-07 00:00:00 UTC,,3788.61245453,29087.2577669699,3504.8608648,1528366.96279994,4741.65438972,1379858.40619992,4085.99611862,1431730.25899917,61365.12873173458
