t,v
2010-05-23T00:00:00Z,43741
2010-05-24T00:00:00Z,43856
2010-05-25T00:00:00Z,43977
2010-05-26T00:00:00Z,44095
2010-05-27T00:00:00Z,44168
2010-05-28T00:00:00Z,44343
2010-05-29T00:00:00Z,44426
2010-05-30T00:00:00Z,44533
2010-05-31T00:00:00Z,44620
2010-06-01T00:00:00Z,44688
2010-06-02T00:00:00Z,44794
2010-06-03T00:00:00Z,44803
2010-06-04T00:00:00Z,44902
2010-06-05T00:00:00Z,44986
2010-06-06T00:00:00Z,45085
2010-06-07T00:00:00Z,44990
2010-06-08T00:00:00Z,45074
2010-06-09T00:00:00Z,45140
2010-06-10T00:00:00Z,45259
2010-06-11T00:00:00Z,45357
2010-06-12T00:00:00Z,45442
2010-06-13T00:00:00Z,45531
2010-06-14T00:00:00Z,45559
2010-06-15T00:00:00Z,45692
2010-06-16T00:00:00Z,45766
2010-06-17T00:00:00Z,45876
2010-06-18T00:00:00Z,45956
2010-06-19T00:00:00Z,45978
2010-06-20T00:00:00Z,46109
2010-06-21T00:00:00Z,46216
2010-06-22T00:00:00Z,46293
2010-06-23T00:00:00Z,46427
2010-06-24T00:00:00Z,46507
2010-06-25T00:00:00Z,46644
2010-06-26T00:00:00Z,46773
2010-06-27T00:00:00Z,46876
2010-06-28T00:00:00Z,46968
2010-06-29T00:00:00Z,46997
2010-06-30T00:00:00Z,47011
2010-07-01T00:00:00Z,47099
2010-07-02T00:00:00Z,47131
2010-07-03T00:00:00Z,47246
2010-07-04T00:00:00Z,47194
2010-07-05T00:00:00Z,47228
2010-07-06T00:00:00Z,47338
2010-07-07T00:00:00Z,47364
2010-07-08T00:00:00Z,47465
2010-07-09T00:00:00Z,47605
2010-07-10T00:00:00Z,47653
2010-07-11T00:00:00Z,47830
2010-07-12T00:00:00Z,49460
2010-07-13T00:00:00Z,50353
2010-07-14T00:00:00Z,51174
2010-07-15T00:00:00Z,51682
2010-07-16T00:00:00Z,52238
2010-07-17T00:00:00Z,52252
2010-07-18T00:00:00Z,52189
2010-07-19T00:00:00Z,52307
2010-07-20T00:00:00Z,52468
2010-07-21T00:00:00Z,52515
2010-07-22T00:00:00Z,52714
2010-07-23T00:00:00Z,52878
2010-07-24T00:00:00Z,52961
2010-07-25T00:00:00Z,53044
2010-07-26T00:00:00Z,52697
2010-07-27T00:00:00Z,52761
2010-07-28T00:00:00Z,52831
2010-07-29T00:00:00Z,53015
2010-07-30T00:00:00Z,53092
2010-07-31T00:00:00Z,53226
2010-08-01T00:00:00Z,53360
2010-08-02T00:00:00Z,53475
2010-08-03T00:00:00Z,53534
2010-08-04T00:00:00Z,53701
2010-08-05T00:00:00Z,53818
2010-08-06T00:00:00Z,53860
2010-08-07T00:00:00Z,53876
2010-08-08T00:00:00Z,53989
2010-08-09T00:00:00Z,54071
2010-08-10T00:00:00Z,54147
2010-08-11T00:00:00Z,54210
2010-08-12T00:00:00Z,54404
2010-08-13T00:00:00Z,54461
2010-08-14T00:00:00Z,54643
2010-08-15T00:00:00Z,54741
2010-08-16T00:00:00Z,54796
2010-08-17T00:00:00Z,54906
2010-08-18T00:00:00Z,54914
2010-08-19T00:00:00Z,55029
2010-08-20T00:00:00Z,55101
2010-08-21T00:00:00Z,55221
2010-08-22T00:00:00Z,55293
2010-08-23T00:00:00Z,55358
2010-08-24T00:00:00Z,55444
2010-08-25T00:00:00Z,55594
2010-08-26T00:00:00Z,55596
2010-08-27T00:00:00Z,55668
2010-08-28T00:00:00Z,55769
2010-08-29T00:00:00Z,55907
2010-08-30T00:00:00Z,55988
2010-08-31T00:00:00Z,55994
2010-09-01T00:00:00Z,56080
2010-09-02T00:00:00Z,56116
2010-09-03T00:00:00Z,56244
2010-09-04T00:00:00Z,56340
2010-09-05T00:00:00Z,56395
2010-09-06T00:00:00Z,56448
2010-09-07T00:00:00Z,56539
2010-09-08T00:00:00Z,56637
2010-09-09T00:00:00Z,56728
2010-09-10T00:00:00Z,56833
2010-09-11T00:00:00Z,56936
2010-09-12T00:00:00Z,56909
2010-09-13T00:00:00Z,56980
2010-09-14T00:00:00Z,57070
2010-09-15T00:00:00Z,57160
2010-09-16T00:00:00Z,57176
2010-09-17T00:00:00Z,56796
2010-09-18T00:00:00Z,56924
2010-09-19T00:00:00Z,56937
2010-09-20T00:00:00Z,57049
2010-09-21T00:00:00Z,57080
2010-09-22T00:00:00Z,57191
2010-09-23T00:00:00Z,57261
2010-09-24T00:00:00Z,57378
2010-09-25T00:00:00Z,57429
2010-09-26T00:00:00Z,57506
2010-09-27T00:00:00Z,57246
2010-09-28T00:00:00Z,56328
2010-09-29T00:00:00Z,56376
2010-09-30T00:00:00Z,56486
2010-10-01T00:00:00Z,56559
2010-10-02T00:00:00Z,56616
2010-10-03T00:00:00Z,56685
2010-10-04T00:00:00Z,56637
2010-10-05T00:00:00Z,56690
2010-10-06T00:00:00Z,56764
2010-10-07T00:00:00Z,56773
2010-10-08T00:00:00Z,56685
2010-10-09T00:00:00Z,56695
2010-10-10T00:00:00Z,56802
2010-10-11T00:00:00Z,56880
2010-10-12T00:00:00Z,56949
2010-10-13T00:00:00Z,56774
2010-10-14T00:00:00Z,56860
2010-10-15T00:00:00Z,56958
2010-10-16T00:00:00Z,56888
2010-10-17T00:00:00Z,57015
2010-10-18T00:00:00Z,57135
2010-10-19T00:00:00Z,57367
2010-10-20T00:00:00Z,57490
2010-10-21T00:00:00Z,57518
2010-10-22T00:00:00Z,57591
2010-10-23T00:00:00Z,57725
2010-10-24T00:00:00Z,57893
2010-10-25T00:00:00Z,57962
2010-10-26T00:00:00Z,58186
2010-10-27T00:00:00Z,58236
2010-10-28T00:00:00Z,58255
2010-10-29T00:00:00Z,58289
2010-10-30T00:00:00Z,58402
2010-10-31T00:00:00Z,58424
2010-11-01T00:00:00Z,58500
2010-11-02T00:00:00Z,58612
2010-11-03T00:00:00Z,58706
2010-11-04T00:00:00Z,58766
2010-11-05T00:00:00Z,58714
2010-11-06T00:00:00Z,58851
2010-11-07T00:00:00Z,58976
2010-11-08T00:00:00Z,58351
2010-11-09T00:00:00Z,58444
2010-11-10T00:00:00Z,58582
2010-11-11T00:00:00Z,58743
2010-11-12T00:00:00Z,58844
2010-11-13T00:00:00Z,58925
2010-11-14T00:00:00Z,58793
2010-11-15T00:00:00Z,58940
2010-11-16T00:00:00Z,59011
2010-11-17T00:00:00Z,59176
2010-11-18T00:00:00Z,59334
2010-11-19T00:00:00Z,59367
2010-11-20T00:00:00Z,59530
2010-11-21T00:00:00Z,59662
2010-11-22T00:00:00Z,59773
2010-11-23T00:00:00Z,59800
2010-11-24T00:00:00Z,59838
2010-11-25T00:00:00Z,59999
2010-11-26T00:00:00Z,60150
2010-11-27T00:00:00Z,60248
2010-11-28T00:00:00Z,60410
2010-11-29T00:00:00Z,60437
2010-11-30T00:00:00Z,60611
2010-12-01T00:00:00Z,60624
2010-12-02T00:00:00Z,60714
2010-12-03T00:00:00Z,60654
2010-12-04T00:00:00Z,60867
2010-12-05T00:00:00Z,61068
2010-12-06T00:00:00Z,61309
2010-12-07T00:00:00Z,61395
2010-12-08T00:00:00Z,61601
2010-12-09T00:00:00Z,61771
2010-12-10T00:00:00Z,61968
2010-12-11T00:00:00Z,62268
2010-12-12T00:00:00Z,62618
2010-12-13T00:00:00Z,62452
2010-12-14T00:00:00Z,62752
2010-12-15T00:00:00Z,63032
2010-12-16T00:00:00Z,63227
2010-12-17T00:00:00Z,63409
2010-12-18T00:00:00Z,63658
2010-12-19T00:00:00Z,63767
2010-12-20T00:00:00Z,63846
2010-12-21T00:00:00Z,64048
2010-12-22T00:00:00Z,64167
2010-12-23T00:00:00Z,64383
2010-12-24T00:00:00Z,64567
