Date_Key,Country,Country_Code,Fact,Fact_Type,Source
20/11/16,Romania,ROU,2,SearchInterest,Google
27/11/16,Romania,ROU,2,SearchInterest,Google
4/12/16,Romania,ROU,2,SearchInterest,Google
11/12/16,Romania,ROU,1,SearchInterest,Google
18/12/16,Romania,ROU,2,SearchInterest,Google
25/12/16,Romania,ROU,1,SearchInterest,Google
1/1/17,Romania,ROU,3,SearchInterest,Google
8/1/17,Romania,ROU,2,SearchInterest,Google
15/1/17,Romania,ROU,2,SearchInterest,Google
22/1/17,Romania,ROU,2,SearchInterest,Google
29/1/17,Romania,ROU,2,SearchInterest,Google
5/2/17,Romania,ROU,2,SearchInterest,Google
12/2/17,Romania,ROU,2,SearchInterest,Google
19/2/17,Romania,ROU,2,SearchInterest,Google
26/2/17,Romania,ROU,3,SearchInterest,Google
5/3/17,Romania,ROU,3,SearchInterest,Google
12/3/17,Romania,ROU,3,SearchInterest,Google
19/3/17,Romania,ROU,3,SearchInterest,Google
26/3/17,Romania,ROU,2,SearchInterest,Google
2/4/17,Romania,ROU,2,SearchInterest,Google
9/4/17,Romania,ROU,2,SearchInterest,Google
16/4/17,Romania,ROU,2,SearchInterest,Google
23/4/17,Romania,ROU,2,SearchInterest,Google
30/4/17,Romania,ROU,3,SearchInterest,Google
7/5/17,Romania,ROU,4,SearchInterest,Google
14/5/17,Romania,ROU,6,SearchInterest,Google
21/5/17,Romania,ROU,7,SearchInterest,Google
28/5/17,Romania,ROU,6,SearchInterest,Google
4/6/17,Romania,ROU,6,SearchInterest,Google
11/6/17,Romania,ROU,7,SearchInterest,Google
18/6/17,Romania,ROU,5,SearchInterest,Google
25/6/17,Romania,ROU,5,SearchInterest,Google
2/7/17,Romania,ROU,5,SearchInterest,Google
9/7/17,Romania,ROU,5,SearchInterest,Google
16/7/17,Romania,ROU,6,SearchInterest,Google
23/7/17,Romania,ROU,6,SearchInterest,Google
30/7/17,Romania,ROU,6,SearchInterest,Google
6/8/17,Romania,ROU,6,SearchInterest,Google
13/8/17,Romania,ROU,9,SearchInterest,Google
20/8/17,Romania,ROU,6,SearchInterest,Google
27/8/17,Romania,ROU,7,SearchInterest,Google
3/9/17,Romania,ROU,7,SearchInterest,Google
10/9/17,Romania,ROU,8,SearchInterest,Google
17/9/17,Romania,ROU,6,SearchInterest,Google
24/9/17,Romania,ROU,5,SearchInterest,Google
1/10/17,Romania,ROU,6,SearchInterest,Google
8/10/17,Romania,ROU,8,SearchInterest,Google
15/10/17,Romania,ROU,8,SearchInterest,Google
22/10/17,Romania,ROU,8,SearchInterest,Google
29/10/17,Romania,ROU,10,SearchInterest,Google
5/11/17,Romania,ROU,10,SearchInterest,Google
12/11/17,Romania,ROU,9,SearchInterest,Google
19/11/17,Romania,ROU,11,SearchInterest,Google
26/11/17,Romania,ROU,19,SearchInterest,Google
3/12/17,Romania,ROU,30,SearchInterest,Google
10/12/17,Romania,ROU,30,SearchInterest,Google
17/12/17,Romania,ROU,36,SearchInterest,Google
24/12/17,Romania,ROU,28,SearchInterest,Google
31/12/17,Romania,ROU,24,SearchInterest,Google
7/1/18,Romania,ROU,27,SearchInterest,Google
14/1/18,Romania,ROU,27,SearchInterest,Google
21/1/18,Romania,ROU,19,SearchInterest,Google
28/1/18,Romania,ROU,18,SearchInterest,Google
4/2/18,Romania,ROU,24,SearchInterest,Google
11/2/18,Romania,ROU,13,SearchInterest,Google
18/2/18,Romania,ROU,11,SearchInterest,Google
25/2/18,Romania,ROU,8,SearchInterest,Google
4/3/18,Romania,ROU,10,SearchInterest,Google
11/3/18,Romania,ROU,10,SearchInterest,Google
18/3/18,Romania,ROU,8,SearchInterest,Google
25/3/18,Romania,ROU,8,SearchInterest,Google
1/4/18,Romania,ROU,8,SearchInterest,Google
8/4/18,Romania,ROU,8,SearchInterest,Google
15/4/18,Romania,ROU,7,SearchInterest,Google
22/4/18,Romania,ROU,8,SearchInterest,Google
29/4/18,Romania,ROU,6,SearchInterest,Google
6/5/18,Romania,ROU,5,SearchInterest,Google
13/5/18,Romania,ROU,5,SearchInterest,Google
20/5/18,Romania,ROU,6,SearchInterest,Google
27/5/18,Romania,ROU,5,SearchInterest,Google
3/6/18,Romania,ROU,5,SearchInterest,Google
10/6/18,Romania,ROU,6,SearchInterest,Google
17/6/18,Romania,ROU,4,SearchInterest,Google
24/6/18,Romania,ROU,4,SearchInterest,Google
1/7/18,Romania,ROU,5,SearchInterest,Google
8/7/18,Romania,ROU,4,SearchInterest,Google
15/7/18,Romania,ROU,5,SearchInterest,Google
22/7/18,Romania,ROU,6,SearchInterest,Google
29/7/18,Romania,ROU,5,SearchInterest,Google
5/8/18,Romania,ROU,5,SearchInterest,Google
12/8/18,Romania,ROU,5,SearchInterest,Google
19/8/18,Romania,ROU,4,SearchInterest,Google
26/8/18,Romania,ROU,4,SearchInterest,Google
2/9/18,Romania,ROU,4,SearchInterest,Google
9/9/18,Romania,ROU,5,SearchInterest,Google
16/9/18,Romania,ROU,5,SearchInterest,Google
23/9/18,Romania,ROU,4,SearchInterest,Google
30/9/18,Romania,ROU,3,SearchInterest,Google
7/10/18,Romania,ROU,4,SearchInterest,Google
14/10/18,Romania,ROU,4,SearchInterest,Google
21/10/18,Romania,ROU,4,SearchInterest,Google
28/10/18,Romania,ROU,3,SearchInterest,Google
4/11/18,Romania,ROU,3,SearchInterest,Google
11/11/18,Romania,ROU,4,SearchInterest,Google
18/11/18,Romania,ROU,7,SearchInterest,Google
25/11/18,Romania,ROU,5,SearchInterest,Google
2/12/18,Romania,ROU,4,SearchInterest,Google
9/12/18,Romania,ROU,4,SearchInterest,Google
16/12/18,Romania,ROU,5,SearchInterest,Google
23/12/18,Romania,ROU,5,SearchInterest,Google
30/12/18,Romania,ROU,4,SearchInterest,Google
6/1/19,Romania,ROU,4,SearchInterest,Google
13/1/19,Romania,ROU,4,SearchInterest,Google
20/1/19,Romania,ROU,3,SearchInterest,Google
27/1/19,Romania,ROU,3,SearchInterest,Google
3/2/19,Romania,ROU,6,SearchInterest,Google
10/2/19,Romania,ROU,4,SearchInterest,Google
17/2/19,Romania,ROU,4,SearchInterest,Google
